combined_tagalog,english,difficulty,similarity_score,source
"Kinalúlugdan n~g mga cura, iguinagalang n~g mga sacristán, sinusúyò n~g magcacandiláng insíc at n~g mga castillero, si Capitang Tiago'y lumiligaya sa religión dito sa lupà, at sinasabi n~g mga matataas at banal na mga táong sa lan~git man daw ay malakí rin ang lacás n~g canyáng capangyarihan.","So, beloved by the priests, respected by the sacristans, humored by the Chinese chandlers and the dealers in fireworks, he was a man happy in the religion of this world, and persons of discernment and great piety even claimed for him great influence in the celestial court.",Hard,0.6743,Noli Me Tangere
"¿Siyá n~ga ba?--anáng sundalo,--n~guni't anóng cabuluhan n~g pararayo'y n~gitn~git n~g dilím ang gabí?","""Yes,"" observed the private, ""but of what use is it when the night is so dark?""",Hard,0.6743,Noli Me Tangere
"Nang mag ábot na ang dalawáng pulutóng, ang mga babae ay siyáng nag-anyóng hindî makibuin at matimtiman, na pára manding hindî pa silá nacacapag-aral na tumawa; tumbalíc, ang mga lalaki namán ang nan~gagsasalitâ, nan~gagsisin~gitî at tumátanong n~g macaanim upang magtamó n~g isáng casagutan. --¿Tahímic bagá cayâ ang dagâtan?","When the two parties met it was the women who maintained a serious and formal attitude, just as if they had never known how to laugh, while on the other hand the men talked and laughed, asking six questions to get half an answer.",Hard,0.6742,Noli Me Tangere
¡Umalalay ca sa isáng bahay na nalulugsó!,"You're upholding a falling house.""",Easy,0.6742,Noli Me Tangere
"Pagcatápos na matingnán at malíbot ang mga lúpà sa magcabicabilà, ipinagtanóng niyá cung sinosino ang may arì n~g cagubatang inaagusan n~g tubig na malacúcò.","After looking about and inspecting the land, he finally inquired for the owners of this wood, in which there were hot springs.",Hard,0.6741,Noli Me Tangere
"¡N~gayón co lamang siyá nakita!--ang sagót ni Társilo, na minámasdan ang isá n~g may halong habág.","""This is the first time that I've ever seen him,"" replied Tarsilo with a look of pity at the other.",Hard,0.6741,Noli Me Tangere
"Ang nang̃ang̃aninag na habi ng̃ pinya ay nagbibigáy ng̃ lalòng gandá sa kaniyáng ulo, at ang mg̃a pilipinong nakakamalas ay iginagaya siya sa buwang nalilibid ng̃ maputî't manipís na ulap.","The gauzy texture of the piña set off her shapely head, and the Indians who saw her compared her to the moon surrounded by fleecy clouds.",Hard,0.6741,El Filibusterismo
"Lalò pang nanindíg ang buhók ng̃ kaawàawàng binatà, na warì pinakilos ng̃ isáng malakás na galáw.","The poor youth's hair stood up straighter than ever, as though acted upon by some magnetic force.",Medium,0.6741,El Filibusterismo
"Iniluhód n~g Alcalde n~g malakíng pag-hihirap ang isáng páa, na iniíiling ang úlo sa samâ n~g lóob; namutlá at nagsisisi n~g taimtim sa púsò ang alférez. --¡Napacadiablo ang curang iyán!--ang ibínulóng n~g isá sa mga binatang galing Maynílà.","The alcalde laboriously bent one knee and wagged his head in a disgusted manner, while the alferez looked pale and penitent.",Hard,0.674,Noli Me Tangere
"¡Iyan ang maligaya!--ang bulóng ni Plácido na nagbuntónghining̃á at nakating̃ín sa pulutóng na untî untîng nagiging parang anino na lamang, na ang tang̃ìng nákikitang mabuti ay ang mg̃a bisig ni Juanito na ibinábabâ't itinátaás na warì'y pamagaypáy ng̃ isáng giling̃an. --¡Sa gayón na lamang siya magagamit--ang bulóng namán ni Simoun--mabuti na ang lagáy ng̃ kabatàan!","""There's a fellow who's happy!"" muttered Placido with a sigh, as he gazed toward the group, which became converted into vaporous silhouettes, with Juanito's arms plainly visible, rising and falling like the arms of a windmill.",Hard,0.6739,El Filibusterismo
"Ng̃unì't mg̃a ginoo--ang sigáw ni D. Custodio ng̃ máding̃íg ang gayóng mg̃a pabulalás--magpakatinô ng̃â tayo, ¿alín pa ang bahay na lalòng agpáng kay sa sabung̃án?","""But, gentlemen,"" cried Don Custodio, in answer to so many exclamations, ""let's be practical - what places are more suitable than the cockpits?",Hard,0.6739,El Filibusterismo
"Cung inaalimura acó'y dapat acóng howág umimíc; cung tumutol aco'y palalayasin acó sa áking pinaghahanapang-búhay at magpacailan ma'y mawawalâ na sa akin ang catungculan co, datapuwa't hindî dahil sa pagcacágayón co'y mápapacagaling ang pagtúturò, cung dî baligtád, makikicampí ang lahát sa cura, caririmariman acó at acó'y tatawaguing hambóg, palálò, mápagmataas, masamáng cristiano, masamâ, ang túrò n~g magúlang, at cung magcabihirà pa'y sasabihing caaway acó n~g castilà at ""filibustero.""","Nor would the cause of education gain anything, but the opposite, for everybody would take the curate's side, they would curse me and call me presumptuous, proud, vain, a bad Christian, uncultured, and if not those things, then anti-Spanish and a filibuster.",Hard,0.6739,Noli Me Tangere
"Inaantáy namin kayó, oh mg̃a binatà, halíkayó at kayó'y aming ináantáy!","We await you, O youth!",Medium,0.6738,El Filibusterismo
"Ang mg̃a itó'y siyang nakapangyayari noon sa aking bayan; dahil sa pag-aarì nilá sa dalawá ng̃ katlóng bahagi ng̃ mg̃a lupaín, tang̃ìng may hawak ng̃ karunung̃an ay inilulubóg ang bayan sa kamangmang̃án at sa pagsiil, inilalagmak sa ugaling hamak at inihahandâ upang huwag marimariman sa pagpapalitpalít ng̃ pang̃inoon.","They were the owners of two-thirds of the land, the monopolizers of learning, they held the people down in ignorance and tyranny, they brutalized them, thus making them fit to pass without resistance from one domination to another.",Hard,0.6738,El Filibusterismo
"Ang dalawáng pangkatin ay nagkapakiramdaman at nagsimulâ na ang paghahamok: sa sumunód na pagsisimbá, ang lahát ng̃ mestiso, patî ng̃ mg̃a lalòng payát, ay pawàng may mg̃a buyon at ibinikakàng mabuti ang mg̃a hità na warìng nang̃ang̃abayo: lahát ng̃ naturales ay pinagpatong ang kaníkaniláng paa, sampû ng̃ lalòng matatabâ, kayâ't may kabisa tulóy na umarinkín.","On the following Sunday all the mestizos, even the thinnest, had large paunches and spread their legs wide apart as though on horseback, while the natives placed one leg over the other, even the fattest, there being one cabeza de barangay who turned a somersault.",Hard,0.6737,El Filibusterismo
"Nang kináhapunan, si Ben-Zayb, na punông punô ng̃ mg̃a rebolber at bala ang mg̃a bulsá, ay dumalaw kay D. Custodio, na natagpûang masigasig na gumagawâ ng̃ isáng panukalà na laban sa mg̃a mag-aalahás na amerikano.","Who would have said - "" In the afternoon Ben-Zayb, his pockets filled with revolvers and cartridges, went to see Don Custodio, whom he found hard at work over a project against American jewelers.",Hard,0.6737,El Filibusterismo
"¿Bakit ang masamâng gawâ at katalasan ay inaaarìng malakíng sangkáp ng̃ bayang kastilà gayóng walâ siyang mákakapantáy kung sa pagkamahál na tao, sa pagkamapagmataás at sa pagkamahaldika?","Why are rascality and astuteness regarded as great qualities in the Spanish people, when there is no other so noble, so proud, so chivalrous as it?",Hard,0.6737,El Filibusterismo
"Nang makita niláng dumarating ang cura ay nan~gagtindigan; nagpauna sa pagsalubong ang isáng babae upang hagcán ang canyang camáy; n~guni't gumamit ang cura n~g isáng anyóng cayamután, caya't napahintô ang babae sa calaguitnaan n~g canyáng paglacad.","Upon seeing him approach, the women arose and one of them pressed forward to kiss his hand, but the holy man made a sign of impatience that stopped her short.",Hard,0.6736,Noli Me Tangere
"Nan~gagliliparan ang mga caisipáng itó sa alang-alang na pag-itang mulâ sa sahíg na kinalalatagan n~g magaspáng na baníg, hanggáng sa palupong kinatatalîan n~g dúyang pinag-úuguyan sa sanggól na laláki.","Such thoughts wander through the space enclosed between the rough mats spread out on the bamboo floor and the ridge of the roof, from which hangs the hammock wherein the baby swings.",Hard,0.6736,Noli Me Tangere
"¿masasabi co ba sa aking amá na icaw ay patawarin, masasabi co ba canyáng acó'y canyáng anác, acó pa namáng pinacahan~gadhan~gád niyá ang aking camatayan?","Could I ask my father that he forgive you, could I tell him that I knew that I was his daughter--him, who desired my death so eagerly?",Hard,0.6736,Noli Me Tangere
"N~gayóng umaga, n~g icaw ay ipinagtatanong namin, at sinasabi cong ¿baca nan~gin~gibig na sa ibá? sumagót siyá sa aking: ¡cahimanawari! at saca umiyác.","This morning when we were talking about you and I said, 'Suppose he has gone to make love to some other girl?' she answered, 'Would that he had!' and began to cry.""",Hard,0.6736,Noli Me Tangere
"Tinawag niyá ang canyáng iná, canyáng ipinan~galan ang lalong matitimyás na palayaw, at n~g mamasid niyáng hindi naguiguising at hindi man lamang humihin~ga'y nagtindig, tinun~go ang agos at cumuha n~g cauntíng túbig na canyáng inilagáy sa binalisungsóng na dahon n~g saguing, at canyáng winiligán n~g tubig na iyon ang namumutláng mukhà n~g canyáng iná.","Noticing that she was not even breathing, he arose and went to the neighboring brook to get some water in a banana leaf, with which to rub the pallid face of his mother, but the madwoman made not the least movement and her eyes remained closed.",Hard,0.6736,Noli Me Tangere
"Kung ang kasiràan ng̃ pagtuturò ay hindî makahadláng na ang marami'y magíng abogado ó médiko, kung tayo'y magkakaroon din lamang ¿bákit hindî pá mabubuti? at gayón man, kahì't na ang nasà'y gawíng lupaín ng̃ mg̃a mánananim ang lupaíng itó, isáng lupaín ng̃ mg̃a manggagawà sa lupà, at patayín sa kaniyá ang lahát ng̃ gawàing isip, ay hindî ko maunawà ang kasamâan ng̃ patalinuhin ang mg̃a mánananim at mg̃a manggagawàng lupàng iyán, bigyán man lamang silá ng̃ isáng pinag-aralang magpahintulot sa kanilá, pagkatapos, na máwastô at magwastô ng̃ kaniláng mg̃a gawàin, na ilagáy bagá silá sa kalagayang máwatasan ang maraming bagay na hindî batíd sa ng̃ayón. --¡Bah, bah, bah!--ang bulalás ng̃ abogado na ikinumpay ng̃ palikawlikaw sa hang̃in ang kamáy na warìng ibig bugawin ang mg̃a paghahakàng nábanggít--upang maging mabuting mang-aani ay hindî kailang̃an ang maraming _retórica_.","After all, even if the sole wish is to make the country a country of farmers and laborers, and condemn in it all intellectual activity, I don't see any evil in enlightening those same farmers and laborers, in giving them at least an education that will aid them in perfecting themselves and in perfecting their work, in placing them in a condition to understand many things of which they are at present ignorant.""",Hard,0.6736,El Filibusterismo
SA PAGTATAKIPSILIM.= Gumawâ rin namán n~g malaking handâ sa báhay ni capitang Tiago.,In the Twilight In Capitan Tiago's house also great preparations had been made.,Medium,0.6734,Noli Me Tangere
"Sa harapán ng̃ isáng muntîng bahay na tablá, na ang anyô'y masayá at malinis, ay may isáng kastilà na naníniín sa isáng tungkód at nag-áalíw sa liwanag ng̃ buwán.","Before a wooden house of pleasant and well-kept appearance was a Spaniard on crutches, enjoying the moonlight.",Hard,0.6734,El Filibusterismo
"Sa tanóng n~g pagsintá sa isáng sulyáp na numíningning ó lumálamlam, waláng mga sagót ang salitâ: tumútugon ang n~gitî, ang halíc ó ang buntóng hinin~gá.","To the questioning glance of love, as it flashes out and then conceals itself, speech has no reply; the smile, the kiss, the sigh answer.",Hard,0.6734,Noli Me Tangere
"Nang mabusóg na n~g culang palad, na magpacailan ma'y imbi na't walang capurihán, ang panghihiganti n~g mga tao, sa pamamag-itan n~g canyang dugô, n~g mga pahirap na guinawâ sa canya at n~g canyang mga pagsigáw, kinailan~gang cunin siya sa ibabaw n~g cabayo, sapagca't hinimatáy, at maano na sanang namatáy na n~gâ n~g pátuluyan!","When the wretch, now forever disgraced, had satisfied the vengeance of man with his blood, his tortures, and his cries, he had to be taken off the horse, for he had become unconscious.",Hard,0.6734,Noli Me Tangere
"X.= =ANG BAYAN= Hálos sa pampáng n~g dagátan ang kinálalagyan n~g báyang San Diego[178], na sumasaguitnâ n~g mga capatágang hálamanan at mga paláyan.","CHAPTER X The Town Almost on the margin of the lake, in the midst of meadows and paddy-fields, lies the town of San Diego.",Hard,0.6733,Noli Me Tangere
"Ang aking tung̃o ay ibá, ang hang̃ád ko'y mapagalíng lamang ang mg̃a sakít na dináramdam ng̃ aking mg̃a kababayan.","My destiny is different; my aspiration reduces itself to alleviating the physical sufferings of my fellow men.""",Hard,0.6733,El Filibusterismo
"Oo ninanasàng mamatáy siyá at warìng nádiding̃íg na niya ang mg̃a pabulalás ng̃ mg̃a taong nanonood ng̃ responso, na nagsasabing: --¡Itó ang libíng! ganiyan ang marunong mamatáy, aling Patrocinio.","Yes, she desired to die, and it seemed that she could hear the exclamations of the people at the funeral:",Hard,0.6732,El Filibusterismo
"Pinasimulan ang palabas cay Chananay at cay Marianito, sa pagcanta n~g ""Crispino e la comare"".",The play began with Chananay and Marianito in _Crispino é la comare_.,Medium,0.6732,Noli Me Tangere
"Hindî na tayo man~gan~gailan~gang magdasál, mag ayuno ó bumilí pa n~g mga bula.",Then we shan't need to pray and fast and buy indulgences.,Medium,0.6732,Noli Me Tangere
"Inaacalà cong hindî na cailan~gang sabihing caramihang mga ""indio"" ang siyáng bumubuo n~g dalawang hanay n~g procesión, na pawang may tan~gang candílang may nin~gas at taglay ang boong pamimintacasi.","I believe it unnecessary to state that a multitude of Indians, carrying lighted candles with great devotion, formed the two lines of the procession.",Hard,0.6732,Noli Me Tangere
"Ililigtas n~g talinghagà ó n~g mga cacaibang mga letrang itó ang aking gawâ, sa camangman~gan n~g mga tao, na gaya naman n~g pagcaligtas sa maraming mga catotohanan n~g talinghaga ó n~g mga cacaibang mga pagsambá at n~g di sirain n~g mapangwasak na mga camay n~g mga sacerdote.","The mystery of these curious characters will save my work from the ignorance of men, just as the mystery of strange rites has saved many truths from the destructive priestly classes.""",Hard,0.6732,Noli Me Tangere
¿sino ang macacaibig macaalam n~g tungcól sa niyóg?,"Who's interested in coconuts?""",Medium,0.6732,Noli Me Tangere
Datapuwa't kinakailan~gang dumaló roon pagcatapos na aking maganáp ang aking mga catungculan.,"But I shall have to go late, after I've attended to my duties.",Medium,0.6732,Noli Me Tangere
"Nan~gagsiupô sa caniláng mga sillón ang tatlóng sacerdote, na ang anyó'y nacapag-bibigáy ulirán sa cahinhinan, ayon sa sasabihin marahil n~g may malinis na caloobang ""corresponsal;"" tinularan silá n~g Alcalde at ibá pang mga taong may vara at may bastón; humintô ang música: Pamucaw ang paghaliling iyón n~g catahimican sa úgong sa ating matandáng Hermana Pule, na humihilic na, salamat sa música.","The three priests seated themselves in their chairs in an edifying attitude, as the worthy correspondent would say, the alcalde and other persons of place and position following their example.",Hard,0.6731,Noli Me Tangere
Ganyán n~ga ang calagayan n~g bagay na ito: sumasampalataya ang ibá at ang ibá'y hindî.,"""Well, so it went"" some believed it and others didn't.",Medium,0.6731,Noli Me Tangere
"Sa pagtatacá n~g mga nanonood ay sinundán nilá ang tinítingnan n~g nagagapos, at ang caniláng nakita'y ang guinoong babae, na nan~gan~gatlabì n~g cauntî.","In surprise the bystanders followed his glance and saw the señora, who was lightly gnawing at her lips.",Hard,0.6731,Noli Me Tangere
¿Buháy pa ba cayó?,You're still alive!,Easy,0.6731,Noli Me Tangere
"Samantalang binabawì co ang lacás sa mga bisig ni Morfeo, sa macatuwid baga'y sa catre n~g convento, hinahan~gad co, tan~gi cong caibigang cayó'y matamó n~g magandang gabi at hanggang búcas, isáng araw na dakilà.""","While, therefore, I recover my strength in the arms of Morpheus--or rather on a cot in the convento--I desire for you, my distinguished friend, a pleasant night and take leave of you until tomorrow, which will be the great day.",Hard,0.673,Noli Me Tangere
"Dapat siyáng ihugos n~g patiwaric at manatiling malaón laón sa ilalim n~g tubig, catulad n~g guinágawâ sa timbâ, na ang caibhán lamang ay lalong pinalalaon ang tao.","They took away the gag and hung him up by his feet, for he must go down head foremost and remain some time under the water, just as the bucket does, only that the man is left a longer time.",Hard,0.673,Noli Me Tangere
"Lumúlucso ang cálolowa sa catuwâan pagcakita n~g nacasabit sa bawa't liig na apat ó limáng mga escapulario, at sa bawa't bayawáng ay isáng cordóng may mga buhól, at niyóng mga procesión n~g mga bangcáy ó mga fantasma[191] na may mga hábitong guinggón.","His soul leaped with joy to see about each neck four or five scapularies and around each waist a knotted girdle, and to behold the procession of corpses and ghosts in _guingón_ habits.",Hard,0.673,Noli Me Tangere
¡tingnán!,"I saw it!""",Easy,0.673,Noli Me Tangere
"Ipatawad po ninyo,--ang itinutol ni doña Victorina na nag-init,--ang tungcol diyan sa capangyarihan n~g confesión.... gamutin n~ga po ninyo ang asawa n~g alférez n~g isang confesión.","""Pardon me,"" objected the piqued Doña Victorina, ""this power of the confessional--cure the alferez's woman with a confession!""",Hard,0.6729,Noli Me Tangere
"Itinapon n~g iláng babae sa ílog ang mga híyas at sinunog ang damít na canyáng bigáy, at mulà n~g ilibíng ang bangcáy sa púnò n~g balítì ring iyón, sino mang táo'y walâ n~g man~gahás na doo'y lumápit.","Some threw the jewels into the river and burned the clothes, and from the time that the corpse was buried at the foot of the balete itself, no one willingly ventured near the spot.",Hard,0.6729,Noli Me Tangere
¡Sa oo!,"""Sure!",Easy,0.6729,El Filibusterismo
"At n~g mapalagay na sa lupa si San Juan, siya'y nagmúkhang tila isá sa mga taong-bayan.","So St. John, once on the ground, became one of the townsfolk.",Hard,0.6728,Noli Me Tangere
¡Dírito ang Capitán General!,"""Ah!"" exclaimed the Captain-General.",Easy,0.6728,Noli Me Tangere
"Sa pulutóng ng̃ mg̃a talogigì, si Tadeo, ang nagkakasakít kung pumapanaog ang gurô, ay kaakbáy ng̃ kaniyang kababayang baguhan na namalas nating nagtiís ng̃ inianák ng̃ masamâng pagkakabasa sa katotohanang sinabi ni Descartes.","In a group of spectators, Tadeo, he who was always taken ill the moment the professor appeared, was accompanied by a fellow townsman of his, the novice whom we saw suffer evil consequences from reading wrongly the Cartesian principle.",Hard,0.6727,El Filibusterismo
At pagkatapos ay sasabihin ng̃ mg̃a mapagbagong pilibustero na hindî namín ináalagatâ ang bayan!--ang dagdág ng̃ General na tumatawang paaglahì.,"Soon the filibustering reformers will say that we are not looking out for the country!"" concluded his Excellency with a sarcastic laugh.",Hard,0.6727,El Filibusterismo
"Sugatín at pípiláy-piláy siyáng nakaratíng doon sa pagsunód sa kanyáng iná, at itó namán ay balíw at lipus katakutang lumalayô na warì'y anino sa kaniyáng anák.","Wounded and limping, he had reached there in pursuit of her - she mad and terrified, fleeing from her son as from a ghost.",Hard,0.6727,El Filibusterismo
¡Casunduan!,"""Be careful!""",Easy,0.6727,Noli Me Tangere
"Upang huwag makipagkagalít sa Kura at sa Pamahalàan ay pinagpapaluwalan niya ang náaalís sa padrón, ipinagbabayad ang mg̃a umaalís at namamatáy, nag-aaksayá ng̃ maraming panahón sa panining̃íl at pagtung̃o sa _Cabecera_.","In order to avoid any quarrel with the curate or the government, he settled from his own pocket the shortages in the tax-lists, paying for those who had died or moved away, and he lost considerable time in making the collections and on his trips to the capital.",Hard,0.6727,El Filibusterismo
"Namumunô sa mg̃a prayle at mg̃a kawaní na nang̃akaluklók sa mg̃a uupáng Viena at mg̃a mumuntîng bangkông maitím ang kahoy at ang uupán ay marmol na galing sa Cantón, sa haráp ng̃ mg̃a mumuntîng dulang na parisukat, at nang̃aglalarô ng̃ tresillo ó nang̃ag-uusap usap, sa tulong ng̃ maníngníng na liwanag ng̃ mg̃a ginintûáng lámpara ó ng̃ kukutakutatap na ilaw ng̃ mg̃a parol insík na may matitingkád na palamutìng borlas na sutlâ.","That night, then, the sala presented a curious aspect, being filled with friars and clerks seated on Vienna chairs, stools of black wood, and marble benches of Cantonese origin, before little square tables, playing cards or conversing among themselves, under the brilliant glare of the gilt chandeliers or the subdued light of the Chinese lanterns, which were brilliantly decorated with long silken tassels.",Hard,0.6726,El Filibusterismo
"Ganoon, ganoon--ang sagót na may kamuhîán ni Plácido--¿at ikáw? --¡Mabuting mabuti!","""So, so,"" answered Placido, rather bored.",Medium,0.6726,El Filibusterismo
"Malaon nang inaakala nang _El Grito_ na kinákatawan niya ang bayang pilipino; _ergo_........ gaya nang wiwikain ni Fray Ibañez, kung marunong nang latín.","For some time El Grito has pretended to represent the Filipino people - ergo, as Fray Ibañez would say, if he knew Latin.",Hard,0.6726,El Filibusterismo
"M~ga bulaclác na cusang sumisibol na ang marami sa canila'y hindî pa napapan~galanan, ang siyang pamuti n~g mga pangpang n~g batis na iyón; n~guni't marahil ay kilalá na n~g mga doradong maliliit na háyop, n~g mga paróparóng sarisarì ang lalakí, at may mga cúlay na azúl at guintô, mapuputî at maiitím, sal-it sal-ít na cúlay maniningning, makikintab, may mga tagláy na mga rubí at mga esmeralda sa caniláng mga pacpác, at n~g mga libolibong mga tutubíng cumikinang n~g tulad sa metal, at wari nasasabugan n~g totoong mataas na guintô.","Adorning its banks grow wild flowers, many of which have as yet no Latin names, but which are doubtless well-known to the gilded insects and butterflies of all shapes and colors, blue and gold, white and black, many-hued, glittering with iridescent spots, with rubies and emeralds on their wings, and to the countless beetles with their metallic lusters of powdered gold.",Hard,0.6726,Noli Me Tangere
"Sa pagca't wala siyang dunong, salapi ó mataas na taong tumangkilic sa canya, inihatol sa canya n~g canyang mga cababayan, upang huwag na siyang macabigat pa sa pamumuhay na siya'y pa sa mga lalawigan at doo'y magpanggap siyang doctor sa pangagamot.","Since he had neither learning nor money nor recommendations he was advised by his countrymen, who wished to get rid of him, to go to the provinces and pass himself off as a doctor of medicine.",Hard,0.6725,Noli Me Tangere
At matapos makapagpaalam sa kaniyáng kaibigan ay lumayông uubóubó at pinakakalansíng ang kaniyáng mg̃a mamiso.,"After bidding his friend good-by, he moved away coughing and rattling his silver coins.",Medium,0.6724,El Filibusterismo
"XX ANG NAGPAPALAGÁY Tunay ang sinabi ni P. Irene: ang ukol sa akademia ng̃ wikàng kastilà, na malaon nang iniharáp, ay tumutung̃o na sa isáng pagkalutas.","CHAPTER XX THE ARBITER True it was that Padre Irene had said: the question of the academy of Castilian, so long before broached, was on the road to a solution.",Hard,0.6724,El Filibusterismo
"Dahandahang kinuha ni Simoun, at matapos na maalís ang ilawán, ay inilantád ang loób ng̃ sisidlán: ang bao ay patalím, na ang kapal ay mg̃a dalawáng dalì, at maaarìng maglamán ng̃ higít sa dalawáng litro.","Simoun took it out with great care and, removing the burner, exposed to view the interior of the tank, which was lined with steel two centimeters in thickness and which had a capacity of over a liter.",Hard,0.6724,El Filibusterismo
"Samantala'y natápos si Capitang Tiago n~g pakikipulong cay pári Dámaso, ó sa lalong magalíng na sabi, ang pakikipulong ni párì Dámaso cay Capitang Tiago.","Capitan Tiago, meanwhile, had concluded his interview with Padre Damaso, or rather, to speak more exactly, Padre Damaso had concluded with him.",Hard,0.6724,Noli Me Tangere
Tinátanóng siyá sa ting̃ín ni Basilio: walâng máwawàan sa bagay na iyón.,"Basilio questioned him with his eyes, for as yet he comprehended nothing.",Medium,0.6723,El Filibusterismo
¡Na icaw ay maniwalang sinintá co icaw cailán man!,"""That you believe that I have always loved you!""",Medium,0.6723,Noli Me Tangere
"¡Tulun~gan nawa siyá n~g Dios!--ang idinugtóng n~g matandang lalaki, na n~ginun~guyâ ang sapá;--cung maguing papa si Andoy, cami pa sa sa Roma ¡je!--¡je! nacalalacad pa acóng mabuti.","""God help us!"" added the old man, rolling his quid of buyo.",Hard,0.6723,Noli Me Tangere
"Nilibot niyá, n~g magcágayon, at nakita niyá ang isáng san~gá n~g malungcót na cahoy na humahalang sa isá namang san~gá rin n~g ibang cahoy.",He then walked around it and noticed that a branch of the fateful balete was crossed with one from another tree.,Hard,0.6723,Noli Me Tangere
"¡Balàng araw ay pagkukukutusán ko iyán, eh!","Some day I'm going to punch him!""",Easy,0.6723,El Filibusterismo
Ng̃unì't ang kaniyáng boses ay hindî nakapagbigáy katiwasayán kundî bagkús pa ng̃âng nagpalalò nang dî kapalagayang loob.,"But his voice, instead of reassuring, increased the general uneasiness, for it trembled.",Hard,0.6723,El Filibusterismo
"Ng̃ayó'y nanumbalík akó upang durugin ang pamamahalàng iyán, padaliín ang kaniyang pagkabulók, iabóy sa bang̃íng tinutung̃o, kahì't na kailang̃anin kong gamitin ang pagbahâ ng̃ luhà at dugô....","Now I have returned to destroy that system, to precipitate its downfall, to hurl it into the abyss toward which it is senselessly rushing, even though I may have to shed oceans of tears and blood.",Hard,0.6722,El Filibusterismo
"Nakita niya sa malayô-layô roón, sa guitnâ n~g bátis, ang isáng wari'y paliguang magaling ang pagcacabacod, at ang pinacabubóng ay isáng malagong cawayan; may nanggagaling doong masasayáng mga voces n~g babae.","At a little distance he saw in the middle of the brook a kind of bathing-place, well enclosed, decorated with palm leaves, flowers, and streamers, with a leafy clump of bamboo for a covering, from within which came the sound of happy feminine voices.",Hard,0.6722,Noli Me Tangere
"Nasabáhay si Basilio, n~guni't nátira rito si Crispin--ang itinútol ni Sisa;--ibig co siyáng makita....","""Basilio is at home, but Crispin stayed here,"" answered Sisa, ""and I want to see him.""",Medium,0.6722,Noli Me Tangere
"Sa dahiláng sa kinabukasan ay dadalaw sa mag-aanak ni kabisang Tales, ay sinamantalá niyá ang gabíng yaón upang gumanáp sa gayóng kautang̃án.","Since he must visit Cabesang Tales' family the next day, he had taken advantage of the night to perform this duty.",Hard,0.6722,El Filibusterismo
"¡Gaano ang iginágawâ ng̃ kaawàawàng ginoo, ang lalòng masipag sa lahát ng̃ nagpápalagáy sa Sangsinukob!","How the good man labored, the most active of all the arbiters in the world!",Medium,0.6721,El Filibusterismo
"Hayaan ninyong macaraan ang ilang bowan; magbabago cayóng isipán pagca cayo'y nacapagmalimít sa maraming mga fiesta at ""bailujan""[58], nacatulog sa mga catre at nacacain n~g maraming ""tinola"".","Let a few months pass and you will change your opinion, after you have attended a lot of fiestas and _bailúhan_, slept on cots, and eaten your fill of _tinola_.""",Hard,0.672,Noli Me Tangere
"Ang mg̃a mapaghinalà, kung nakikita siyáng nagdáraan na walâng kaimík-imík at nakatung̃ó, ay nagsasabing ipinadíding̃íg sa kaniyá: --¡Kung iibígin, ay magtatamóng kapatawarán si kabisang Tales!","Malicious ones, seeing her pass sad and dejected, would remark so that she might hear: ""If she only wished it, Cabesang Tales would be pardoned.""",Hard,0.672,El Filibusterismo
"Cung minsa'y náliligaw acó sa mga landás n~g mga cabunducan, at ang gabíng doo'y untîuntì ang pagdatíng ay naráratnan acóng naglácad pa't hinahanap co ang aking daan sa guitnâ n~g mga ""pino,"" n~g mga ""haya""[153] at ang mga ""encina""[154]; cung nagcácagayón, cung nacalúlusot ang iláng mga sínag n~g buwán sa mga puáng n~g masinsíng mga san~gá, wari'y nakikinikinita co icáw sa sinapupunan n~g gubat, tulad sa isáng nagpapagalagalang aninong gágalawgaláw at nagpapacabicabilâ sa liwanag at sa mga carilimán n~g malagóng caparan~gan, at sacâ ipinarírinig n~g ""ruiseñor""[155] ang canyáng ibá't ibáng cawiliwiling huni, inaacálà cong dahil sa icáw ay nakikita't icáw ang siyáng sa canyá'y nacaaakit.","At times I became lost among the mountain paths and while the night descended slowly, as it does there, I would find myself still wandering, seeking my way among the pines and beeches and oaks.",Hard,0.6719,Noli Me Tangere
"Kamí ni kabisang Tales ay magtátagpô sa siyudad at itó'y aming kukunin, at kayó sa mg̃a arabal ay tátayô kayó sa mg̃a tuláy, magmumuog kayó roon, háhandâng sumaklolo sa amin at patayín ninyó, hindî lamang ang laban sa panghihimagsík, kungdî ang lahát ng̃ lalaking ayaw sumamang manandata!","Cabesang Tales and I will join one another in the city and take possession of it, while you in the suburbs will seize the bridges and throw up barricades, and then be ready to come to our aid to butcher not only those opposing the revolution but also every man who refuses to take up arms and join us.""",Hard,0.6719,El Filibusterismo
"Ang balità'y cung di cay Linares, si capitang Tiago'y nabitay sana, ¿anó ang cahihinatnán ni María Clara?--ang pahiwatig ni Victoria.","""They say that if it were not for Linares, they would hang Capitan Tiago, so what was Maria Clara going to do?"" observed Victoria.",Hard,0.6719,Noli Me Tangere
¡isáng panag-ínip!--ang inuulit-úlit ni Basilio sa marahang pananalitâ.,"""A dream, a dream!"" repeated Basilio in subdued tones.",Medium,0.6719,Noli Me Tangere
